number,type,path,preview_url,local_html_exists,live_status,redirect_location,meta_robots,canonical,in_live_preview_sitemap,registry_indexable_in_this_build,sitemap_disposition,error
1,Homepage,/,https://temp123-nine.vercel.app/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
2,Service detail,/services/,https://temp123-nine.vercel.app/services/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
3,Core or preserved legacy,/industries/,https://temp123-nine.vercel.app/industries/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
4,Core or preserved legacy,/service-areas/,https://temp123-nine.vercel.app/service-areas/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
5,Core or preserved legacy,/rental-calculator/,https://temp123-nine.vercel.app/rental-calculator/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
6,Core or preserved legacy,/planning/,https://temp123-nine.vercel.app/planning/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
7,Core or preserved legacy,/about-us/,https://temp123-nine.vercel.app/about-us/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
8,Core or preserved legacy,/blog/,https://temp123-nine.vercel.app/blog/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
9,Core or preserved legacy,/contact-us/,https://temp123-nine.vercel.app/contact-us/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
10,Core or preserved legacy,/privacy/,https://temp123-nine.vercel.app/privacy/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
11,Equipment,/equipment-rental/,https://temp123-nine.vercel.app/equipment-rental/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
12,Core or preserved legacy,/20ft-refrigeration-trailers/,https://temp123-nine.vercel.app/20ft-refrigeration-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
13,Core or preserved legacy,/26ft-military-bulk-kitchen/,https://temp123-nine.vercel.app/26ft-military-bulk-kitchen/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
14,Core or preserved legacy,/2800-correctional-facilities-series/,https://temp123-nine.vercel.app/2800-correctional-facilities-series/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
15,Core or preserved legacy,/2800-military-series/,https://temp123-nine.vercel.app/2800-military-series/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
16,Core or preserved legacy,/4000-correctional-facilities-series/,https://temp123-nine.vercel.app/4000-correctional-facilities-series/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
17,Core or preserved legacy,/4000-military-series/,https://temp123-nine.vercel.app/4000-military-series/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
18,Core or preserved legacy,/40ft-military-bulk-kitchen/,https://temp123-nine.vercel.app/40ft-military-bulk-kitchen/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
19,Core or preserved legacy,/4500-correctional-facilities-series/,https://temp123-nine.vercel.app/4500-correctional-facilities-series/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
20,Core or preserved legacy,/4500-military-series/,https://temp123-nine.vercel.app/4500-military-series/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
21,Core or preserved legacy,/base-camps-for-rent/,https://temp123-nine.vercel.app/base-camps-for-rent/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
22,Core or preserved legacy,/camp-management-and-design/,https://temp123-nine.vercel.app/camp-management-and-design/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
23,Core or preserved legacy,/construction-man-camp-rentals/,https://temp123-nine.vercel.app/construction-man-camp-rentals/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
24,Core or preserved legacy,/disaster-relief-man-camp-workforce-rentals/,https://temp123-nine.vercel.app/disaster-relief-man-camp-workforce-rentals/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
25,Core or preserved legacy,/equipment-rental-refrigeration-12ft-refrigerated-trailer/,https://temp123-nine.vercel.app/equipment-rental-refrigeration-12ft-refrigerated-trailer/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
26,Equipment,/equipment-rental/breakroom-trailer/,https://temp123-nine.vercel.app/equipment-rental/breakroom-trailer/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
27,Equipment,/equipment-rental/classroom-trailers/,https://temp123-nine.vercel.app/equipment-rental/classroom-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
28,Equipment,/equipment-rental/fencing-barricades-trash-receptacles/,https://temp123-nine.vercel.app/equipment-rental/fencing-barricades-trash-receptacles/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
29,Equipment,/equipment-rental/generator-trailers/,https://temp123-nine.vercel.app/equipment-rental/generator-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
30,Equipment,/equipment-rental/laundry-trailers/,https://temp123-nine.vercel.app/equipment-rental/laundry-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
31,Equipment,/equipment-rental/mobile-kitchen-trailers/,https://temp123-nine.vercel.app/equipment-rental/mobile-kitchen-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
32,Equipment,/equipment-rental/mobile-office-trailers/,https://temp123-nine.vercel.app/equipment-rental/mobile-office-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
33,Equipment,/equipment-rental/modular-buildings/,https://temp123-nine.vercel.app/equipment-rental/modular-buildings/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
34,Equipment,/equipment-rental/modular-command-center-trailers/,https://temp123-nine.vercel.app/equipment-rental/modular-command-center-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
35,Equipment,/equipment-rental/ramp-rentals/,https://temp123-nine.vercel.app/equipment-rental/ramp-rentals/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
36,Equipment,/equipment-rental/refrigeration/,https://temp123-nine.vercel.app/equipment-rental/refrigeration/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
37,Equipment,/equipment-rental/restroom-trailers/,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
38,Equipment,/equipment-rental/security-camera-trailers/,https://temp123-nine.vercel.app/equipment-rental/security-camera-trailers/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
39,Equipment,/equipment-rental/shower-trailer/,https://temp123-nine.vercel.app/equipment-rental/shower-trailer/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
40,Equipment,/equipment-rental/stair-rentals/,https://temp123-nine.vercel.app/equipment-rental/stair-rentals/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
41,Equipment,/equipment-rental/tent-structures/,https://temp123-nine.vercel.app/equipment-rental/tent-structures/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
42,Equipment,/equipment-rental/wastewater-and-freshwater-container/,https://temp123-nine.vercel.app/equipment-rental/wastewater-and-freshwater-container/,true,200,,"noindex,follow",,false,false,exclude-preview-noindex,
