"kind","route","state","gallery","position","original","reviewId","visualView","declaredView","visualBasis","sha256"
"homepage-modal","/","Alabama","1","1","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/mobile-shower-trailer-wash-station.png","21.01","interior","interior","Visually inspected full assigned photo in the numbered contact sheet.","dabab6914d03a327f753ae7074f3355b156e5325cbff71fa3dca2823299cdd46"
"homepage-modal","/","Alabama","1","2","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/multi-station-shower-trailer-exterior.png","21.02","exterior","exterior","Visually inspected full assigned photo in the numbered contact sheet.","c8e61016692cc24ed87e1535eb1d0bdab31df836eed8301a227f2805021d8ab8"
"homepage-modal","/","Alabama","1","3","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/private-shower-trailer-stall-interior.png","21.04","exterior","exterior","Despite the interior filename, the full photo shows an external sink bank, trailer rear lights, stabilizers and warehouse floor.","13d11fc194e658fa5c5be33c3852191cec58b21c55db2108cd78c9949335c703"
"homepage-modal","/","Alabama","1","4","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/shower-trailer-exterior-with-private-shower-stall.png","21.05","exterior","exterior","Visually inspected full assigned photo in the numbered contact sheet.","7891e17e60628430980fd835fc4690a6d189017a7d86e7aad7840960bc1ad55a"
"homepage-modal","/","Alabama","1","5","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/shower-trailer-rear-exterior-view.png","21.07","exterior","exterior","Visually inspected full assigned photo in the numbered contact sheet.","ea9f8d1cea1ede56e56f5ac0e706547f4decfd5b5a75076ea08db176377910da"
"homepage-modal","/","Alabama","1","6","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/shower-trailer-sink-and-mirror-area.png","21.08","exterior","exterior","Externally accessed sink and mirror bank; trailer tail lights and warehouse floor are visible.","45b677c4b981464953cc49dbbfcec39c5ad82a23b6094f2b547fb4b3889da98e"
"homepage-modal","/","Alaska","1","1","/images/catalog/restroom-trailers-960.webp","catalog-restroom","exterior","exterior","Exterior catalogue reference; ADA room/access certification remains outside this view classification.","703e00d32f1b70bf993a0652ae54a0e338aa86345b9fa08f846e07be067c6406"
"homepage-modal","/","Arizona","1","1","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/luxury-6-stall-shower-restroom-trailer-entry-steps.png","10.05","interior","interior","Despite entry-steps in the filename, this photo shows an enclosed shower and toilet interior.","ee85c5176470af5e87fc10a0918d2a0e24be5a73eb645573733c80a5c89d969b"
"homepage-modal","/","Arizona","1","2","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/luxury-shower-restroom-trailer-sink-vanity-interior.png","10.07","interior","interior","Visually inspected full assigned photo in the numbered contact sheet.","5c01e444dc88f976bfa395f817338fdca4765cf8be18394fa029cc8daf3e8a6c"
"homepage-modal","/","Arizona","1","3","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/22ft-6-stall-shower-restroom-trailer-exterior.png","10.01","exterior","exterior","Visually inspected full assigned photo in the numbered contact sheet.","7db24ad2139ec43e362befc5a46d484a7e69f851b1d6cafe4a414c0a04af0925"
"homepage-modal","/","Arizona","1","4","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/22ft-luxury-shower-restroom-combination-trailer-6-stall-exterior.png","10.02","exterior","exterior","Visually inspected full assigned photo in the numbered contact sheet.","a1fd0e0d53b4d489ef53ad5af54f3571e9f298fa37dc79888a83351ba9e4563f"
"homepage-modal","/","Arizona","1","5","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/luxury-shower-restroom-trailer-private-shower-stall.png","10.06","exterior","exterior","Despite private-shower-stall in the filename, the photo shows exterior doors, wheels and steps.","e9df604dc15c6e80be25da73ae492955b09fc556aaf6f0e3d306085d5e82d441"
"homepage-modal","/","California","1","1","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/luxury-6-stall-shower-restroom-trailer-entry-steps.png","10.05","interior","interior","Despite entry-steps in the filename, this photo shows an enclosed shower and toilet interior.","ee85c5176470af5e87fc10a0918d2a0e24be5a73eb645573733c80a5c89d969b"
"homepage-modal","/","California","1","2","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/luxury-shower-restroom-trailer-sink-vanity-interior.png","10.07","interior","interior","Visually inspected full assigned photo in the numbered contact sheet.","5c01e444dc88f976bfa395f817338fdca4765cf8be18394fa029cc8daf3e8a6c"
"homepage-modal","/","California","1","3","/media/equipment-drive/luxury-shower-restroom-combination-trailers/22ft-luxury-shower-restroom-combination-trailer-6-stalls/22ft-6-stall-shower-restroom-trailer-exterior.png","10.01","exterior","exterior","Visually inspected full assigned photo in the numbered contact sheet.","7db24ad2139ec43e362befc5a46d484a7e69f851b1d6cafe4a414c0a04af0925"
