kind,url,state,exactTitle,changed,newFiles
"page","/","","Temporary Facilities and Trailer RentalRent or Lease Nationwide","false",""
"page","/services/","","Nationwide Temporary Facility Rental Services","false",""
"page","/industries/","","Commercial and Institutional Temporary Facility Rental","false",""
"page","/service-areas/","","USA Temporary Facilities Rental Service Areas","false",""
"page","/seo-dashboard/","","SEO Migration Dashboard","false",""
"page","/rental-calculator/","","Nationwide Temporary Facility Rental and Delivery Calculator","false",""
"page","/planning/","","Bring the essentials.We’ll take it from there.","false",""
"page","/about-us/","","Temporary facilities built around the work.","false",""
"page","/blog/","","Field notes for better site planning.","false",""
"page","/contact-us/","","The right facilitiesstart here.","false",""
"page","/privacy/","","Privacy","false",""
"page","/equipment-rental/","","Nationwide Temporary Facility and Equipment Rental","false",""
"page","/20ft-refrigeration-trailers/","","20ft Refrigeration Trailer Rental","false",""
"page","/26ft-military-bulk-kitchen/","","26ft Military Bulk Kitchen","false",""
"page","/2800-correctional-facilities-series/","","2800 Correctional Facilities Series","false",""
"page","/2800-military-series/","","2800 Military Series","false",""
"page","/4000-correctional-facilities-series/","","4000 Correctional Facilities Series","false",""
"page","/4000-military-series/","","4000 Military Series","false",""
"page","/40ft-military-bulk-kitchen/","","40ft Military Bulk Kitchen","false",""
"page","/4500-correctional-facilities-series/","","4500 Correctional Facilities Series","false",""
"page","/4500-military-series/","","4500 Military Series","false",""
"page","/base-camps-for-rent/","","Base Camps for Rent | Modular & Scalable Housing Solutions","false",""
"page","/camp-management-and-design/","","Camp Management and Design","false",""
"page","/construction-man-camp-rentals/","","Construction Man Camp Rentals | Workforce Housing for Construction Sites","false",""
"page","/disaster-relief-man-camp-workforce-rentals/","","Emergency Response Trailer Rental","false",""
"page","/equipment-rental-refrigeration-12ft-refrigerated-trailer/","","12ft Refrigeration Trailer Rental","false",""
"page","/equipment-rental/breakroom-trailer/","","Breakroom trailers Rental","false",""
"page","/equipment-rental/classroom-trailers/","","Classroom trailers Rental","false",""
"page","/equipment-rental/fencing-barricades-trash-receptacles/","","Fencing, barricades & receptacles Rental","false",""
"page","/equipment-rental/generator-trailers/","","Generator trailers Rental","false",""
"page","/equipment-rental/laundry-trailers/","","Laundry Trailer Rental","false",""
"page","/equipment-rental/mobile-kitchen-trailers/","","Kitchen Trailer Rental","false",""
"page","/equipment-rental/mobile-office-trailers/","","Mobile office trailers Rental","false",""
"page","/equipment-rental/modular-buildings/","","Modular buildings Rental","false",""
"page","/equipment-rental/modular-command-center-trailers/","","Military command center trailers Rental","false",""
"page","/equipment-rental/ramp-rentals/","","Ramp rentals","false",""
"page","/equipment-rental/refrigeration/","","Refrigerated Trailer Rental","false",""
"page","/equipment-rental/restroom-trailers/","","Restroom Trailer Rental","false",""
"page","/equipment-rental/security-camera-trailers/","","Security camera trailers Rental","false",""
"page","/equipment-rental/shower-trailer/","","Emergency Shower Trailer Rental","false",""
"page","/equipment-rental/stair-rentals/","","Stair rentals","false",""
"page","/equipment-rental/tent-structures/","","Tent rentals","false",""
"page","/equipment-rental/wastewater-and-freshwater-container/","","Wastewater & freshwater containers Rental","false",""
"page","/facility-management-and-base-operations-support/","","Facility Management and Base Operations Support","false",""
"page","/food-services-2/","","Food Service Kitchen Trailer Lease","false",""
"page","/government-and-non-government/","","Acquired Government and Non-Goverment Approvals","false",""
"page","/government/","","Government Temporary Facilities Rental","false",""
"page","/government/correctional-facilities/","","Correctional Facilities","false",""
"page","/government/hospitals/","","Hospitals","false",""
"page","/government/military-kitchen/","","Military Kitchen","false",""
