rank,exact_url,topic_intent,referring_domains,dofollow_referring_domains,total_backlinks,dofollow_backlinks,ur,organic_traffic,export_http_status,live_http,section,exact_slug_preservation,live_replacement,canonical_indexability,priority_reason
1,https://temporary123.com/,Homepage / nationwide temporary facility rental,541,Unavailable,695,169,4.5,Unavailable,403,200,Homepage,Yes on production and preview,https://temp123-nine.vercel.app/,Production self-canonical and index; preview has no canonical and noindex follow,Highest referring-domain count by a wide margin; protect the root URL
2,https://temporary123.com/houston-texas-mobile-kitchen-rental/,Houston mobile kitchen rental,8,Unavailable,12,5,0,Unavailable,403,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/mobile-kitchen-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Highest non-home referring-domain count and strong local commercial intent; restore exact slug or approve a tightly equivalent one-hop redirect
3,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,California portable restroom trailer rental,6,Unavailable,18,14,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Third-highest unique target by referring domains; location intent is lost in the broad hub redirect
4,https://temporary123.com/temporary-workforce-housing-facilities/,Temporary workforce housing facilities,4,Unavailable,23073,23110,5,Unavailable,301,404 on production; 308 to 200 on preview,Equipment/Service,No,https://temp123-nine.vercel.app/man-camps-for-rent/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Four referring domains but exceptionally high backlink volume; metric reconciliation and source-link quality review required
5,https://temporary123.com/equipment-rental/sleeper-trailers/,Sleeper trailer rental,2,Unavailable,344,344,Unavailable,Unavailable,Unavailable,404 on production; 308 to 200 on preview,Equipment/Service,No,https://temp123-nine.vercel.app/equipment-rental/mobile-sleep-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Highest dofollow backlink volume among the two-domain targets; preserve intent through an exact page or approved equivalent
6,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alabama/,Alabama portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Alabama intent is not retained
7,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alaska/,Alaska portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,403,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Alaska intent is not retained
8,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,Alberta Canada portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; retain the exact supplied Alberta slug unless an equivalent is approved
9,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arizona/,Arizona portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Arizona intent is not retained
10,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,Arkansas portable restroom trailer rental,2,Unavailable,13,13,4.4,Unavailable,301,404 on production; 308 to 200 on preview,Location,No,https://temp123-nine.vercel.app/equipment-rental/restroom-trailers/,Production 404 has no canonical and noindex; preview destination has no canonical and noindex follow,Two referring domains and fully dofollow backlink count; exact Arkansas intent is not retained
